episode,serviced_reward,gen_reward
405,0.0,179.0
406,-0.13999999999999999,201.14
407,-0.20999999999999996,175.21
408,-0.10999999999999999,191.11
409,-0.24999999999999997,204.25
410,-0.02,184.02
411,49.980000000000004,135.01999999999998
412,1789.4300000000003,-1761.4300000000003
413,1209.2400000000005,-1115.2400000000005
414,-0.3100000000000001,212.31
415,349.7700000000002,-167.7700000000002
416,1289.1700000000005,-1212.1700000000005
417,199.54999999999998,-17.549999999999983
418,898.9700000000006,-799.9700000000006
419,1029.1600000000003,-949.1600000000003
420,449.15,-287.15
421,1388.9100000000003,-1321.9100000000003
422,119.38999999999999,60.610000000000014
423,339.1600000000001,-197.16000000000008
424,1078.7800000000007,-999.7800000000007
425,1068.6000000000004,-979.6000000000004
426,189.26,-22.25999999999999
427,1439.1400000000003,-1404.1400000000003
428,938.7400000000006,-849.7400000000006
429,1038.8900000000006,-983.8900000000006
430,1359.0400000000004,-1332.0400000000004
431,1368.9700000000003,-1335.9700000000003
432,1138.6200000000003,-1087.6200000000003
433,999.0000000000006,-945.0000000000006
434,988.5500000000006,-914.5500000000006
435,39.620000000000005,96.38
436,1208.9900000000002,-1170.9900000000002
437,1068.7800000000004,-1029.7800000000004
438,979.0400000000004,-938.0400000000004
439,978.9700000000001,-925.9700000000001
440,-0.35,151.35
441,99.37,19.629999999999995
442,129.23,17.77000000000001
443,799.0500000000006,-741.0500000000006
444,829.1500000000001,-781.1500000000001
445,-0.38000000000000006,133.38
446,839.3600000000002,-798.3600000000002
447,1059.46,-1033.46
448,-0.20000000000000004,136.2
449,-0.23,123.23
450,19.669999999999998,94.33
451,729.1700000000004,-676.1700000000004
452,799.52,-765.52
453,-0.43999999999999995,118.44
454,0.0,89.0
455,-0.5100000000000002,114.51
456,99.4,-13.400000000000006
457,-0.5900000000000002,100.59
458,859.0600000000005,-836.0600000000005
459,889.2800000000001,-884.2800000000001
460,168.94,-57.94
461,-0.7200000000000001,100.72
462,-0.3500000000000001,108.35
463,659.0800000000003,-621.0800000000003
464,659.2200000000004,-603.2200000000004
465,-0.49999999999999994,124.5
466,889.0800000000003,-864.0800000000003
467,-0.8500000000000002,130.85
468,879.2700000000003,-856.2700000000003
469,1119.2300000000002,-1103.2300000000002
470,1079.2200000000005,-1069.2200000000005
471,899.0000000000003,-880.0000000000003
472,469.18000000000006,-399.18000000000006
473,959.2700000000001,-940.2700000000001
474,408.94999999999993,-338.94999999999993
475,938.6400000000009,-918.6400000000009
476,509.10000000000014,-463.10000000000014
477,149.14000000000001,-56.140000000000015
478,759.1400000000004,-725.1400000000004
479,788.8400000000007,-768.8400000000007
480,849.3000000000002,-832.3000000000002
481,539.1900000000004,-483.1900000000004
482,689.3400000000003,-659.3400000000003
483,199.45999999999998,-116.45999999999998
484,679.1600000000002,-656.1600000000002
485,-0.23000000000000007,96.23
486,709.1000000000005,-678.1000000000005
487,129.3999999999999,-62.39999999999989
488,769.1500000000002,-741.1500000000002
489,399.24000000000035,-367.24000000000035
490,39.16000000000012,43.83999999999988
491,-0.1,77.1
492,49.42,31.58
493,29.39,69.61
494,714.4100000000001,-699.4100000000001
495,309.21999999999997,-256.21999999999997
496,629.5899999999999,-595.5899999999999
497,729.2200000000004,-703.2200000000004
498,668.8100000000007,-634.8100000000007
499,809.0500000000003,-784.0500000000003
500,39.45,56.55
501,199.30999999999997,-122.30999999999997
502,189.28,-131.28
503,548.7200000000005,-509.7200000000005
504,549.0700000000002,-518.0700000000002
505,328.7900000000006,-280.7900000000006
506,69.52,16.480000000000004
507,479.10000000000036,-451.10000000000036
508,699.3000000000003,-662.3000000000003
509,529.6400000000001,-501.6400000000001
510,519.1000000000005,-488.1000000000005
511,119.52999999999994,-47.529999999999944
512,619.1300000000003,-604.1300000000003
513,619.5100000000002,-616.5100000000002
514,659.2600000000001,-659.2600000000001
515,99.74,-54.739999999999995
516,359.6700000000002,-320.6700000000002
517,679.3100000000002,-672.3100000000002
518,609.6600000000001,-594.6600000000001
519,619.2300000000005,-619.2300000000005
520,469.0800000000003,-439.0800000000003
521,359.25000000000034,-341.25000000000034
522,559.3900000000002,-549.3900000000002
523,109.97999999999999,-53.97999999999999
524,419.56000000000023,-391.56000000000023
525,-0.08,76.08
526,189.26000000000033,-142.26000000000033
527,39.45,12.549999999999997
528,359.0500000000005,-330.0500000000005
529,359.2900000000003,-338.2900000000003
530,179.6,-132.6
531,59.820000000000014,4.1799999999999855
532,748.9900000000002,-744.9900000000002
533,349.10000000000036,-311.10000000000036
534,179.39999999999998,-121.39999999999998
535,109.2299999999998,-34.229999999999805
536,719.2300000000005,-718.2300000000005
537,599.0400000000003,-569.0400000000003
538,459.47000000000014,-434.47000000000014
539,239.54999999999998,-171.54999999999998
540,-0.13999999999999999,76.14
541,229.31,-173.31
542,489.13000000000045,-465.13000000000045
543,29.360000000000007,74.63999999999999
544,239.21999999999997,-179.21999999999997
545,9.740000000000004,86.25999999999999
546,659.1200000000005,-649.1200000000005
547,19.899999999999984,64.10000000000002
548,429.4800000000002,-375.4800000000002
549,89.54999999999997,-6.549999999999969
550,-0.01,117.01
551,669.1000000000005,-633.1000000000005
552,179.70000000000005,-78.70000000000005
553,-0.30000000000000004,105.3
554,539.1200000000005,-492.12000000000046
555,-0.3000000000000001,99.3
556,699.2000000000004,-660.2000000000004
557,638.9700000000006,-593.9700000000006
558,778.6500000000009,-753.6500000000009
559,-0.07,123.07
560,89.77,23.230000000000004
561,-0.17,122.17
562,978.7100000000008,-967.7100000000008
563,949.1800000000003,-931.1800000000003
564,949.0300000000005,-904.0300000000005
565,889.0500000000001,-865.0500000000001
566,869.21,-854.21
567,-0.19999999999999998,136.2
568,1039.2000000000003,-1007.2000000000003
569,1119.62,-1104.62
570,1039.2400000000002,-1011.2400000000002
571,39.74,83.25999999999999
572,-0.02,139.02
573,-0.34000000000000014,125.34
574,0.0,133.0
575,0.0,136.0
576,-0.3,141.3
577,1169.2400000000005,-1143.2400000000005
578,-0.4500000000000002,113.45
579,-0.08,132.08
580,-0.42999999999999994,158.43
581,149.51999999999998,-35.51999999999998
582,1139.5800000000002,-1120.5800000000002
583,939.62,-882.62
584,1379.7,-1376.7
585,-0.11999999999999998,175.12
586,949.0500000000005,-920.0500000000005
587,1228.8000000000006,-1217.8000000000006
588,999.1600000000004,-977.1600000000004
589,0.0,151.0
590,49.48999999999993,107.51000000000008
591,1199.2300000000005,-1178.2300000000005
592,0.0,171.0
593,1399.3200000000002,-1373.3200000000002
594,1379.2400000000005,-1356.2400000000005
595,-0.5100000000000001,133.51
596,0.0,134.0
597,-0.14,165.14
598,-0.36,174.36
599,1149.6100000000001,-1118.6100000000001
600,1259.6100000000001,-1250.6100000000001
601,1329.3700000000003,-1316.3700000000003
602,49.830000000000005,92.16999999999999
603,1269.0700000000006,-1236.0700000000006
604,1309.0800000000006,-1275.0800000000006
605,1219.2400000000005,-1190.2400000000005
606,1339.2400000000005,-1301.2400000000005
607,1289.0200000000007,-1250.0200000000007
608,129.35,-1.3499999999999943
609,-0.14,134.14
610,1479.5300000000002,-1455.5300000000002
611,1269.41,-1244.41
612,1349.5600000000002,-1344.5600000000002
613,-0.3500000000000001,152.35
614,-0.5400000000000003,165.54
615,0.0,134.0
616,0.0,146.0
617,0.0,149.0
618,1319.2000000000003,-1315.2000000000003
619,0.0,140.0
620,-0.22000000000000006,163.22
621,1029.53,-1010.53
622,-0.37000000000000005,141.37
